DATA,"LEADS NOVOS
07/04/2025,88,15,4,24,43,,,43,18,0,5,5,2,,10,3,1,2,,,,,,8,5,3,,,,,,5,3,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7
08/04/2025,43,5,13,4,22,,,22,5,0,7,5,1,,12,2,1,1,,,,,,7,3,4,,,,,,6,1,5,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,10
09/04/2025,49,8,8,12,28,,,28,14,0,4,6,0,,10,2,1,1,,,,,,6,3,3,,,,1,,4,1,3,,,,,,,,,,,,,,0,0,0,0,1,1,0,1,7
10/04/2025,46,5,13,15,33,,,33,20,0,4,7,1,,11,3,3,0,,,,,,8,5,3,,,1,,,5,1,4,,,,,,,,,,,,,,0,0,0,1,0,1,0,1,7
11/04/2025,50,2,16,13,31,,,31,19,2,5,5,5,,10,1,0,1,,,,,,6,4,2,,,,,,5,0,5,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,8
12/04/2025,24,1,3,6,10,,,10,7,1,1,3,1,,4,2,1,1,,,,,,2,1,1,,,,,,2,1,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3
13/04/2025,,,,,0,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
SOMA SEMANAL,300,36,57,74,167,,,167,83,3,26,31,10,,57,13,7,6,0,0,0,0,0,37,21,16,0,0,1,1,0,27,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,42
14/04/2025,89,9,16,12,37,,,37,20,0,5,3,2,,8,5,2,3,,,,,,6,3,3,,,,,,5,4,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7
15/04/2025,36,6,13,10,29,,,29,17,3,7,2,1,,9,6,4,2,,,,,,5,2,3,,,,,,0,0,0,,,,1,,,,,,,,,,0,0,0,0,1,1,0,1,5
16/04/2025,53,9,10,8,27,,,27,12,0,4,5,0,,9,7,4,3,,,,,,6,2,4,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7
17/04/2025,43,8,9,10,27,,,27,12,1,6,6,1,,,5,3,2,,,,,,8,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/04/2025,,,,,0,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
19/04/2025,,,,,0,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
20/04/2025,,,,,0,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
SOMA SEMANAL,221,32,48,40,120,,,120,61,4,22,16,4,,26,23,13,10,0,0,0,0,0,25,10,15,0,0,0,0,0,5,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,19
21/04/2025,,,,,0,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
22/04/2025,97,16,22,10,48,,,48,17,1,9,1,0,,10,,,0,,,,,,4,1,3,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3
23/04/2025,75,12,14,14,40,,,40,21,0,7,5,0,,12,4,2,2,,,,,,6,3,3,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5
24/04/2025,51,6,14,11,31,,,31,15,1,5,5,0,,10,4,2,2,,,,,,5,1,4,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,6
25/04/2025,31,4,5,2,11,,,11,2,0,3,5,0,,8,5,1,4,,,,,,7,4,3,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7
26/04/2025,20,0,9,3,12,,,12,7,0,2,5,0,,7,3,0,3,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3
27/04/2025,,,,,0,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
SOMA SEMANAL,274,38,64,40,142,,,142,62,2,26,21,0,,47,16,5,11,0,0,0,0,0,22,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
28/04/2025,48,2,14,8,24,,,24,10,0,6,4,,,10,5,1,4,,,,,,4,3,1,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5
29/04/2025,22,3,13,6,22,,,22,8,0,2,3,2,,5,4,2,2,,,,,,6,3,3,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5
30/04/2025,21,4,13,4,21,,,21,9,4,2,3,2,,5,4,3,1,,,,1,,6,2,4,,,,,1,,,0,,,,,,,,,,,,,,0,0,0,0,1,1,1,2,5
SOMA SEMANAL,91,9,40,18,67,,,67,27,4,10,10,4,,20,13,6,7,0,0,0,1,0,16,8,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,15
*TOTAL ABRIL,1206,283,209,234,726,,,730,339,19,130,113,,,241,71,36,35,0,0,0,1,0,132,60,72,0,1,1,1,1,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,2,4,6,1,8,135
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2025,,,,,0,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
02/05/2025,27,3,12,12,27,,,27,6,10,0,3,0,,3,5,2,3,,,,,,5,3,2,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5
03/05/2025,,,,,0,,,,,,,,,,0,5,2,3,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3
04/05/2025,,,,,0,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
SOMA SEMANAL,27,3,12,12,27,,,27,6,10,0,3,0,,3,10,4,6,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
05/05/2025,,,,,30,,,30,,1,6,14,,,20,2,1,1,,,,1,,5,3,2,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,1,1,0,1,3
06/05/2025,20,,,,32,,,45,20,,8,2,,,10,4,3,1,,,,,,6,2,4,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5
07/05/2025,22,,,,36,,,83,17,3,21,0,1,,22,5,4,1,,,,,,6,3,3,,,,1,,,,0,,,,,,,,,,,,,,0,0,0,0,1,1,0,1,4
08/05/2025,17,,,,28,,,134,25,4,12,0,0,,12,5,4,1,,,,,1,6,3,3,,,,1,,,,0,,,,,,,,,,,,,,0,0,0,0,1,1,1,2,4
09/05/2025,25,,,,32,,,66,20,3,5,2,1,,8,5,2,3,,,,1,,6,5,1,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,1,1,0,1,4
10/05/2025,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
11/05/2025,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
SOMA SEMANAL,84,0,0,0,158,,,358,82,11,52,18,2,,72,21,14,7,0,0,0,2,1,29,16,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,5,20
12/05/2025,34,,,,45,,,132,27,3,17,5,,,22,5,1,4,,,,,,5,4,1,,,,,,,,0,,,,,,1,,1,,,1,,,0,0,0,1,0,1,0,1,6
13/05/2025,23,,,,25,,,176,19,0,19,2,,,21,5,1,4,,,,,,6,1,5,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,9
14/05/2025,37,,,,47,,,132,13,1,12,1,,,13,5,4,1,,,,,,6,2,4,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5
15/05/2025,35,,,,13,33,26,89,24,1,3,1,,4,8,,,0,,,,,,6,6,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
16/05/2025,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
17/05/2025,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
18/05/2025,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
SOMA SEMANAL,129,0,0,0,130,,,529,83,5,51,9,0,,64,15,6,9,0,0,0,0,0,23,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,20
19/05/2025,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
20/05/2025,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
21/05/2025,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
22/05/2025,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
23/05/2025,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
24/05/2025,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
25/05/2025,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
SOMA SEMANAL,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/05/2025,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
27/05/2025,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
28/05/2025,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
29/05/2025,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
30/05/2025,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
31/05/2025,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
SOMA SEMANAL,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*TOTAL MAIO,240,3,12,12,315,,,914,171,26,103,30,2,,139,46,24,22,0,0,0,2,1,57,32,25,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,4,5,1,6,48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JUNHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOMA SEMANAL,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOMA SEMANAL,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOMA SEMANAL,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOMA SEMANAL,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*TOTAL JUNHO,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JULHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOMA SEMANAL,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOMA SEMANAL,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOMA SEMANAL,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOMA SEMANAL,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOMA SEMANAL,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*TOTAL JULHO,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AGOSTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/08/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/08/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOMA SEMANAL,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/08/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/08/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/08/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/08/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/08/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/08/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/08/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOMA SEMANAL,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
